Theoretical m/z [M+Na],Composition
933.32,H3N2 (Man3)
1079.38,H3N2F1 (Man3Fuc1)
1095.37,H4N2 (Man4)
1136.4,H3N3
1241.43,H4N2F1
1257.42,H5N2 (Man5)
1282.45,H3N3F1
1298.45,H4N3
1339.48,H3N4
1403.48,H5N2F1
1419.48,H6N2 (Man6)
1435.45,H6N2 (Man6) Potassiated
1444.51,H4N3F1
1460.5,H5N3
1485.53,H3N4F1
1501.53,H4N4
1542.56,H3N5
1581.53,H7N2 (Man7)
1590.5,H4N3F2
1597.5,H7N2 (Man7) potassiated
1602.56,H4N3M1
1604.54,H4N3G1 (Underivitised)
1606.55,H5N3F1
1616.59,H4N3D1
1618.56,H4N3G1
1622.56,H6N3
1647.59,H4N4F1
1663.58,H5N4
1688.61,H3N5F1
1704.61,H4N5
1743.58,H8N2 (Man8)
1762.65,H4N3D1F1
1764.61,H5N3M1
1784.61,H7N3
1793.64,H4N4F2
1809.64,H5N4F1
1819.67,H4N4D1
1821.64,H4N4G1
1825.63,H6N4
1828.68,H4N5F1
1850.67,H4N5F1
1866.63,H5N5
1891.69,H3N6F1
1905.63,H9N2 (Man9)
1891.69,H3N6F1
1921.61,H9N2 (Man9) potassiated
1926.67,H6N3S1
1937.7,H4N4Am1F1
1942.66,H6N3G1
1951.7,H4N4S1F1
1953.7,H5N4Am1
1955.69,H5N4F2
1967.69,H5N4S1 or H4N4G1
1971.69,H6N4F1
1976.65,H5N4S1 (underivatised)
1981.73,H5N4D1
1983.69,H5N4G1
1992.72,H3N5F1S1
1996.72,H4N5F2
1999.66,H5N4G1 (potassiated)
2012.72,H5N5F1
2028.71,H6N5
2037.75,H3N6F2
2044.69,H6N5 (potassiated)
2053.75,H4N6F1
2056.73,H5N3F2S1
2067.69,H10N2
2083.66,H10N2 (potassiated)
2088.72,H7N3S1
2095.77,H6N4F2
2099.75,H5N4Am1F1
2100.74,H5N4S1F1 (underivitised)
2113.75,H5N4S1F1
2122.7,H5N4S1F1 (underivitised)
2127.78,H5N4D1F1
2129.75,H5N4G1F1
2145.74,H6N4G1
2151.77,H3N8
2154.78,H4N5S1F1
2156.33,H5N5F2
2168.81,H4N5D1F1
2170.77,H5N5M1
2174.77,H6N5F1
2190.77,H7N5
2186.77,H5N5G1
2195.8,H3N6S1F1
2199.8,H4N6F2
2215.8,H5N6F1
2231.79,H6N6
2246.79,H5N4S1F2 (Underivitised)
2254.77,H9N3F1
2256.83,H4N7F1
2259.81,H5N4S1F2
2267.75,H5N4S2 (underivatised)
2271.85,H5N4Am1D1
2272.82,H5N7
2275.8,H6N4S1F1
2286.8,H4N5S2 (underivitised)
2289.73,H5N4S2 (underivatised)
2289.17,H4N5F4 
2289.81,H9N4
2291.8,H6N4G1F1
2299.88,H5N4D2
2303.84,H5N4G2
2304.83,H5N5F3
2316.82,H5N5M1F1
2319.77,H5N4G2 potassiated
2320.83,H6N5F2
2325.79,H5N5S1F1 (underivatised)
2330.89,H5N5D1F1
2332.83,H6N5S1
2341.79,H6N5S1 (underivatised)
2345.86,H4N6F3
2346.86,H6N5D1
2348.82,H6N5G1
2361.85,H5N6F2
2377.85,H6N6F1
2389.87,H5N4Am2F1
2393.85,H7N6
2407.83,H5N4S1G1F1 (underivatised)
2417.86,H5N4S2F1
2417.9,H5N4Am1D1F1
2433.86,H5N4S1G1F1
2435.79,H5N4S2F1 (underivatised)
2445.93,H5N4D2F1
2449.85,H5N4G2F1
2466.88,H6N5F3
2478.88,H6N5S1F1
2487.84,H6N5S1F1(underivitised)
2492.92,H6N5D1F1
2494.88,H7N5S1
2507.91,H5N6F3
2519.91,H5N6S1F1
2523.9,H6N6F2
2539.9,H7N6F1
2564.93,H5N7F2
2580.93,H6N7F1
2592.95,H5N5Am2F1
2612.95,H6N5F4
2620.94,H5N5S2F1
2636.94,H6N5S2
2649.01,H5N5D2F1
2653.97,H5N6F4
2668.93,H6N5G2
2669.96,H6N6F3
2681.96,H6N6S1F1
2685.96,H7N6F2
2697.96,H7N6S1
2742.98,H7N7F1
2755.01,H6N5Am2F1
2760.01,H6N5F5
2782.99,H6N5S2F1
2783.04,H6N5Am1D1F1
2798.99,H6N5S1G1F1
2814.89,H7N5S1G1
2816.02,H6N6F4
2832.02,H7N6F3
2844.02,H7N6S1F1
2858.05,H7N6D1F1
2860.01,H8N6S1
2905.04,H8N7F1
2930.07,H6N8F2
2941.04,H6N5S3
2978.08,H7N6F4
3002.09,H7N6S2
3050.07,H8N7F2
3087.1,H6N5S3
3123.11,H7N6F5
3148.13,H7N6S2F1
3209.15,H8N7S1F1
3270.17,H9N8F1
3343.2,H8N7F4
3356.14,H7N6S2F2
3416.24,H9N8F2
