Theoretical_m/z,Composition,Glycan_class,H,N,F,Sialic-acid_state,Adduct,Glycan_Chemistries
609.2114,H1N2,Paucimannose,1,2,0,n/a (no sialic acid),[M+Na]+,Neutral
755.2693,H1N2F1,Paucimannose,1,2,1,n/a (no sialic acid),[M+Na]+,Neutral
771.2642,H2N2,Paucimannose,2,2,0,n/a (no sialic acid),[M+Na]+,Neutral
917.3221,H2N2F1,Paucimannose,2,2,1,n/a (no sialic acid),[M+Na]+,Neutral
933.317,H3N2,Paucimannose,3,2,0,n/a (no sialic acid),[M+Na]+,Neutral
1079.3749,H3N2F1,Paucimannose,3,2,1,n/a (no sialic acid),[M+Na]+,Neutral
1095.3698,H4N2,High-mannose,4,2,0,n/a (no sialic acid),[M+Na]+,Neutral
1257.4226,H5N2,High-mannose,5,2,0,n/a (no sialic acid),[M+Na]+,Neutral
1298.4492,H4N3,Hybrid,4,3,0,n/a (no sialic acid),[M+Na]+,Neutral
1339.4757,H3N4,Complex bi-antennary,3,4,0,n/a (no sialic acid),[M+Na]+,Neutral
1419.4755,H6N2,High-mannose,6,2,0,n/a (no sialic acid),[M+Na]+,Neutral
1444.5071,H4N3F1,Hybrid,4,3,1,n/a (no sialic acid),[M+Na]+,Neutral
1460.502,H5N3,Hybrid,5,3,0,n/a (no sialic acid),[M+Na]+,Neutral
1485.5337,H3N4F1,Complex bi-antennary,3,4,1,n/a (no sialic acid),[M+Na]+,Neutral
1501.5286,H4N4,Complex bi-antennary,4,4,0,n/a (no sialic acid),[M+Na]+,Neutral
1542.5551,H3N5,Bisected bi-antennary / Tri-antennary,3,5,0,n/a (no sialic acid),[M+Na]+,Neutral
1581.5283,H7N2,High-mannose,7,2,0,n/a (no sialic acid),[M+Na]+,Neutral
1588.5606,H4N3Sa1,Hybrid,4,3,0,Sa1 Sd0 Ga0 Gd0,[M+Na]+,SA
1589.5446,H4N3S1,Hybrid,4,3,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
1602.5763,H4N3Sm1,Hybrid,4,3,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
1604.5555,H4N3Ga1,Hybrid,4,3,0,Sa0 Sd0 Ga1 Gd0,[M+Na]+,SA
1605.5395,H4N3G1,Hybrid,4,3,0,"underivatized, plain [M+Na]+",[M+Na]+,Native Sialylated
1606.5599,H5N3F1,Hybrid,5,3,1,n/a (no sialic acid),[M+Na]+,Neutral
